dataset,categoria,ferramenta,fold,tempo
dmft,Principal,H2O AutoML,4,00:55
dmft,Principal,H2O AutoML,5,00:54
dmft,Principal,H2O AutoML,6,00:55
dmft,Principal,H2O AutoML,7,00:54
dmft,Principal,H2O AutoML,8,00:55
dmft,Principal,H2O AutoML,9,00:56
dmft,Principal,H2O AutoML,10,00:55
dmft,Principal,AutoGluon,1,01:19
dmft,Principal,AutoGluon,2,01:13
dmft,Principal,AutoGluon,3,01:14
dmft,Principal,AutoGluon,4,01:16
dmft,Principal,AutoGluon,5,01:11
dmft,Principal,AutoGluon,6,01:24
dmft,Principal,AutoGluon,7,01:17
dmft,Principal,AutoGluon,8,01:25
dmft,Principal,AutoGluon,9,01:18
dmft,Principal,AutoGluon,10,01:17
dmft,Principal,AutoSklearn,1,60:00
dmft,Principal,AutoSklearn,2,60:00
dmft,Principal,AutoSklearn,3,60:00
dmft,Principal,AutoSklearn,4,60:00
dmft,Principal,AutoSklearn,5,60:00
dmft,Principal,AutoSklearn,6,60:00
dmft,Principal,AutoSklearn,7,60:00
dmft,Principal,AutoSklearn,8,60:00
dmft,Principal,AutoSklearn,9,60:00
dmft,Principal,AutoSklearn,10,60:00
dmft,Principal,TPOT,1,05:12
dmft,Principal,TPOT,2,02:22
dmft,Principal,TPOT,3,02:34
dmft,Principal,TPOT,4,05:23
dmft,Principal,TPOT,5,04:57
dmft,Principal,TPOT,6,09:07
dmft,Principal,TPOT,7,04:06
dmft,Principal,TPOT,8,05:56
dmft,Principal,TPOT,9,08:34
dmft,Principal,TPOT,10,23:40
dmft,Principal,Rminer,1,05:06
dmft,Principal,Rminer,2,05:54
dmft,Principal,Rminer,3,04:57
dmft,Principal,Rminer,4,04:29
dmft,Principal,Rminer,5,05:18
dmft,Principal,Rminer,6,04:35
dmft,Principal,Rminer,7,03:38
dmft,Principal,Rminer,8,05:08
dmft,Principal,Rminer,9,04:45
dmft,Principal,Rminer,10,04:57
dmft,Principal,TransmogrifAI,1,02:15
dmft,Principal,TransmogrifAI,2,01:50
dmft,Principal,TransmogrifAI,3,01:43
dmft,Principal,TransmogrifAI,4,01:39
dmft,Principal,TransmogrifAI,5,01:48
dmft,Principal,TransmogrifAI,6,01:50
dmft,Principal,TransmogrifAI,7,01:47
dmft,Principal,TransmogrifAI,8,01:52
dmft,Principal,TransmogrifAI,9,01:50
dmft,Principal,TransmogrifAI,10,01:53
dmft,Deep Learning,H2O AutoML,1,60:00
dmft,Deep Learning,H2O AutoML,2,60:00
dmft,Deep Learning,H2O AutoML,3,60:00
dmft,Deep Learning,H2O AutoML,4,60:00
dmft,Deep Learning,H2O AutoML,5,60:00
dmft,Deep Learning,H2O AutoML,6,60:00
dmft,Deep Learning,H2O AutoML,7,60:00
dmft,Deep Learning,H2O AutoML,8,60:00
dmft,Deep Learning,H2O AutoML,9,60:00
dmft,Deep Learning,H2O AutoML,10,60:00
dmft,Deep Learning,Auto-PyTorch,1,60:00
dmft,Deep Learning,Auto-PyTorch,2,60:00
dmft,Deep Learning,Auto-PyTorch,3,60:00
dmft,Deep Learning,Auto-PyTorch,4,60:00
dmft,Deep Learning,Auto-PyTorch,5,60:00
dmft,Deep Learning,Auto-PyTorch,6,60:00
dmft,Deep Learning,Auto-PyTorch,7,60:00
dmft,Deep Learning,Auto-PyTorch,8,60:00
dmft,Deep Learning,Auto-PyTorch,9,60:00
dmft,Deep Learning,Auto-PyTorch,10,60:00
dmft,Deep Learning,Auto-Keras,1,08:45
dmft,Deep Learning,Auto-Keras,2,08:10
dmft,Deep Learning,Auto-Keras,3,07:45
dmft,Deep Learning,Auto-Keras,4,60:00
dmft,Deep Learning,Auto-Keras,5,06:57
dmft,Deep Learning,Auto-Keras,6,07:44
dmft,Deep Learning,Auto-Keras,7,09:58
dmft,Deep Learning,Auto-Keras,8,07:29
