,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,weighted_ensemble_k0_l1,0.7896723159881054,1.5156610012054443,15.814109563827515,0.003182649612426758,1.4063284397125244,1,True
1,CatboostClassifier_STACKER_l0,0.7825799931063089,0.08835911750793457,4.3579394817352295,0.08835911750793457,4.3579394817352295,0,True
2,RandomForestClassifierEntr_STACKER_l0,0.7742053268369058,1.177417278289795,5.8754212856292725,1.177417278289795,5.8754212856292725,0,True
3,RandomForestClassifierGini_STACKER_l0,0.7735130366709315,1.2479569911956787,5.774596214294434,1.2479569911956787,5.774596214294434,0,True
4,NeuralNetClassifier_STACKER_l0,0.7734078786710367,0.22914552688598633,17.274985551834106,0.22914552688598633,17.274985551834106,0,True
5,LightGBMClassifier_STACKER_l0,0.7667478720110299,0.08527112007141113,1.6459133625030518,0.08527112007141113,1.6459133625030518,0,True
6,LightGBMClassifierCustom_STACKER_l0,0.764165658902501,0.07959270477294922,3.6749963760375977,0.07959270477294922,3.6749963760375977,0,True
7,ExtraTreesClassifierEntr_STACKER_l0,0.7584491531859954,1.2562894821166992,4.889890909194946,1.2562894821166992,4.889890909194946,0,True
8,ExtraTreesClassifierGini_STACKER_l0,0.7573800468537311,1.2592554092407227,4.728931903839111,1.2592554092407227,4.728931903839111,0,True
9,KNeighborsClassifierUnif_STACKER_l0,0.5613421666053245,0.7762365341186523,0.27616333961486816,0.7762365341186523,0.27616333961486816,0,True
10,KNeighborsClassifierDist_STACKER_l0,0.5497076023391814,0.7753021717071533,0.2780497074127197,0.7753021717071533,0.2780497074127197,0,True
