model_id,mean_per_class_error,logloss,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200713_224048,0.2130225737284266,0.6042135225140746,0.4336963276381055,0.1880925046067789
StackedEnsemble_AllModels_AutoML_20200713_224048,0.2254302371014561,0.8031330587301725,0.5171591202106506,0.2674535556170541
GLM_1_AutoML_20200713_224048,0.2499365169812922,0.6428312187614403,0.4404052869057116,0.19395681673450216
XGBoost_grid__1_AutoML_20200713_224048_model_19,0.27486291921497696,0.6711244840398277,0.462285420947878,0.2137078104209567
XGBoost_grid__1_AutoML_20200713_224048_model_12,0.2770430272730057,0.7017842189756247,0.4729570058148175,0.2236883293493173
GBM_5_AutoML_20200713_224048,0.2785716195591917,0.6621567641443714,0.460680291537725,0.21222633101128327
XGBoost_grid__1_AutoML_20200713_224048_model_14,0.2789468665636209,0.7246634852266184,0.482344172205665,0.23265590046076826
XGBoost_grid__1_AutoML_20200713_224048_model_11,0.2791431117793564,0.7258602070681736,0.4875685703826072,0.2377231108249393
XGBoost_grid__1_AutoML_20200713_224048_model_5,0.28024334229355,0.7079747021854957,0.4761551457271946,0.226723722802486
XGBoost_grid__1_AutoML_20200713_224048_model_15,0.28107632972890423,0.6681817839278589,0.4625548289880314,0.21395696982014686
XGBoost_2_AutoML_20200713_224048,0.28148750286814794,0.6913074363861127,0.4694432386700728,0.22037695433304694
GBM_grid__1_AutoML_20200713_224048_model_9,0.2815111203956151,0.6924335925619328,0.4631177359513689,0.21447803735272172
XGBoost_grid__1_AutoML_20200713_224048_model_10,0.28288247979932635,0.7290762002789795,0.4845198637902093,0.23475949840728302
GBM_grid__1_AutoML_20200713_224048_model_5,0.28420687321738397,0.6996501908791977,0.4661817730808429,0.2173254455527985
XGBoost_grid__1_AutoML_20200713_224048_model_6,0.2850217620224769,0.771831378591682,0.5064375048545724,0.2564789463233251
XGBoost_grid__1_AutoML_20200713_224048_model_1,0.2853790796707784,0.694859695927535,0.4733709761992943,0.2240800811078728
XGBoost_grid__1_AutoML_20200713_224048_model_3,0.285385876709954,0.6708577313861037,0.4620779691553043,0.2135160495786904
XGBoost_grid__1_AutoML_20200713_224048_model_16,0.28573467032041616,0.8025546408916997,0.5196991045034628,0.2700871592217011
XGBoost_grid__1_AutoML_20200713_224048_model_7,0.28592687068219835,0.6898298757886655,0.4675200042745341,0.2185749543968604
XGBoost_grid__1_AutoML_20200713_224048_model_2,0.2859748549628812,0.6729022180282159,0.4657002094428853,0.2168766850751472
XGBoost_grid__1_AutoML_20200713_224048_model_4,0.28775060447148915,0.6848157963487232,0.4654076418915975,0.21660427313109745
GBM_grid__1_AutoML_20200713_224048_model_11,0.28975278067856125,0.7268853173773553,0.4704767873353904,0.22134840742143014
XGBoost_3_AutoML_20200713_224048,0.29140464795713994,0.6944851532552618,0.4678455611246149,0.21887946906400574
GBM_4_AutoML_20200713_224048,0.2914333858986563,0.7430389495793412,0.4762602027426005,0.2268237807164229
XGBoost_grid__1_AutoML_20200713_224048_model_18,0.2921481672060314,0.7060804327839342,0.4702449910841726,0.2211303516397536
XRT_1_AutoML_20200713_224048,0.2941979680416074,1.0792767919437298,0.4841768009016166,0.23442717453132364
GBM_3_AutoML_20200713_224048,0.2942956221345291,0.7298297706958066,0.4740538993588656,0.22472709949734548
GBM_grid__1_AutoML_20200713_224048_model_14,0.29459032534900514,0.7097166810712929,0.482916711046599,0.23320854980806435
XGBoost_grid__1_AutoML_20200713_224048_model_8,0.2948246010431702,0.7137890525637255,0.4727548562122662,0.22349715407228046
GBM_1_AutoML_20200713_224048,0.2959037688864679,0.7517147509208814,0.4753878441544403,0.2259936023698064
DRF_1_AutoML_20200713_224048,0.29635363681617244,1.1342364441769517,0.4718281704181926,0.22262182240017897
GBM_grid__1_AutoML_20200713_224048_model_4,0.2970066673726196,0.7048063919329799,0.4774399878988219,0.2279489420448272
GBM_2_AutoML_20200713_224048,0.29754395400139405,0.7219305902274497,0.473378465973609,0.2240871720475273
XGBoost_1_AutoML_20200713_224048,0.2977278078728196,0.7195716728396494,0.4754268411593413,0.2260306812947495
XGBoost_grid__1_AutoML_20200713_224048_model_9,0.3012477507728908,0.8561093165702419,0.5414906921371212,0.29321216967113856
XGBoost_grid__1_AutoML_20200713_224048_model_17,0.3030938349375868,0.7628125452781332,0.4820308613504546,0.2323537512942612
GBM_grid__1_AutoML_20200713_224048_model_13,0.30310249887857904,0.8364977277978677,0.4891541499289582,0.2392717823927217
GBM_grid__1_AutoML_20200713_224048_model_3,0.3031381865303795,0.8029974892151601,0.4824195368652955,0.23272860954932625
XGBoost_grid__1_AutoML_20200713_224048_model_13,0.3033310145457848,0.9448790569902132,0.5044223781627004,0.25444193559131434
GBM_grid__1_AutoML_20200713_224048_model_12,0.3051997086996258,0.7051112862265877,0.4732620131014065,0.22397693304479585
GBM_grid__1_AutoML_20200713_224048_model_10,0.30607057323443404,0.7332645982778727,0.4877099517807061,0.2378609970659387
GBM_grid__1_AutoML_20200713_224048_model_1,0.31188773112177903,1.3367411225365835,0.52585451208766,0.2765229678829509
GBM_grid__1_AutoML_20200713_224048_model_2,0.3145840944259335,0.7862046163538443,0.5041373654446015,0.2541544832374237
GBM_grid__1_AutoML_20200713_224048_model_8,0.3198805191278459,0.7730892071294895,0.4978844631501145,0.2478889386462777
GBM_grid__1_AutoML_20200713_224048_model_6,0.32156959460476153,0.7718354369216669,0.5041484166936172,0.2541656260546811
GBM_grid__1_AutoML_20200713_224048_model_7,0.3629900966445255,1.3186557790208673,0.5661540910542346,0.3205304548174466
