model_id,mean_per_class_error,logloss,rmse,mse
DeepLearning_grid__1_AutoML_20200719_032043_model_7,0.4345494055275497,0.950857692094074,0.5834761248894015,0.3404443883159525
DeepLearning_grid__2_AutoML_20200719_032043_model_9,0.444538401550528,0.9835112640871017,0.5896024145229287,0.34763100721126744
DeepLearning_grid__3_AutoML_20200719_032043_model_9,0.4462814930726517,0.9951638424120692,0.6011024795589209,0.3613241909318829
DeepLearning_grid__1_AutoML_20200719_032043_model_9,0.44807565375133823,1.053782886640499,0.5841837055543696,0.3412706018352344
DeepLearning_grid__1_AutoML_20200719_032043_model_17,0.4490430307741258,1.2532291497562364,0.5984024835890716,0.35808553236556895
DeepLearning_grid__1_AutoML_20200719_032043_model_1,0.4511009719924744,1.0345169760905724,0.5910982957606027,0.3493971952510889
DeepLearning_grid__1_AutoML_20200719_032043_model_18,0.4525059252687813,1.1061551273489705,0.5966390917764782,0.3559782058358608
DeepLearning_grid__2_AutoML_20200719_032043_model_5,0.4547172303125317,1.0582971090747555,0.6008794972153356,0.3610561701737546
DeepLearning_grid__1_AutoML_20200719_032043_model_3,0.4552609889985669,1.051974229810841,0.6029107572269554,0.3635013811799808
DeepLearning_grid__3_AutoML_20200719_032043_model_2,0.4586119581576223,1.089937487485771,0.5998648386621307,0.3598378246631441
DeepLearning_grid__3_AutoML_20200719_032043_model_5,0.4595813424496997,1.2257731312112043,0.6216910944202287,0.38649981688142176
DeepLearning_grid__1_AutoML_20200719_032043_model_10,0.4598068327429721,1.1240731716349437,0.6084142123180654,0.3701678537506119
DeepLearning_grid__1_AutoML_20200719_032043_model_13,0.4602470036561628,1.2494929566143715,0.6103386825578403,0.3725133074264401
DeepLearning_grid__1_AutoML_20200719_032043_model_5,0.46695068301626796,1.1780245930397255,0.5958703989470764,0.3550615323413479
DeepLearning_grid__2_AutoML_20200719_032043_model_3,0.4676437909891256,1.1651047673835562,0.6098048588581154,0.3718619658869661
DeepLearning_grid__1_AutoML_20200719_032043_model_2,0.4683009709546105,1.3138450043368246,0.6093256391646531,0.37127773454341306
DeepLearning_grid__3_AutoML_20200719_032043_model_3,0.4697296311376875,1.1653778957937009,0.6109815487696512,0.3732984529369617
DeepLearning_grid__1_AutoML_20200719_032043_model_14,0.4704300328932698,1.1589370773194074,0.5981950090201705,0.3578372688166419
DeepLearning_grid__2_AutoML_20200719_032043_model_2,0.4728489107107374,1.1054713291015767,0.6112422960549256,0.3736171444864974
DeepLearning_grid__2_AutoML_20200719_032043_model_6,0.4768667750186403,1.2659116716943506,0.6222759288557371,0.3872273316332704
DeepLearning_grid__2_AutoML_20200719_032043_model_13,0.4794325046573507,1.28859278316785,0.6212454546254086,0.3859459148927306
DeepLearning_grid__1_AutoML_20200719_032043_model_6,0.4811773794797698,1.477926015156511,0.6151676110088852,0.378431189634379
DeepLearning_grid__2_AutoML_20200719_032043_model_10,0.4831189286601197,1.4413107531699196,0.6356067844630582,0.4039959844554685
DeepLearning_grid__1_AutoML_20200719_032043_model_15,0.4847168629188641,1.3940097138815288,0.6274125583025402,0.3936465183157384
DeepLearning_grid__1_AutoML_20200719_032043_model_12,0.4853636980523039,2.3105266074528585,0.6486662485113842,0.4207679019578329
DeepLearning_grid__3_AutoML_20200719_032043_model_6,0.4864038903532658,1.263454658641962,0.6212959029991943,0.38600859908358426
DeepLearning_grid__2_AutoML_20200719_032043_model_11,0.4895418100628154,1.6040299100993378,0.6422009600141301,0.4124220730430702
DeepLearning_grid__1_AutoML_20200719_032043_model_4,0.4903913836203563,2.071149709717758,0.6646144861657532,0.4417124152213683
DeepLearning_grid__3_AutoML_20200719_032043_model_7,0.4906900019032294,1.088729092207452,0.6174563994093066,0.3812524051715051
DeepLearning_grid__1_AutoML_20200719_032043_model_11,0.4938883847896182,1.2747337234033722,0.6259733656221168,0.39184265446828026
DeepLearning_grid__1_AutoML_20200719_032043_model_8,0.4941544472775254,3.020698585957752,0.6599259802449646,0.4355022994022774
DeepLearning_grid__1_AutoML_20200719_032043_model_16,0.4942353719236306,1.9209340516850582,0.6534399820549589,0.426983810147985
DeepLearning_grid__2_AutoML_20200719_032043_model_12,0.4942924079522719,2.3889463470273755,0.6388668137346967,0.4081508056915236
DeepLearning_grid__2_AutoML_20200719_032043_model_8,0.4959446863858943,3.617134288417529,0.6750143407640875,0.4556443602371756
DeepLearning_grid__2_AutoML_20200719_032043_model_15,0.498763475633344,1.1348636518738615,0.6220126791058506,0.38689977296843786
DeepLearning_grid__2_AutoML_20200719_032043_model_4,0.4989957610613913,1.9082296008858857,0.6561539308540396,0.4305379809752077
DeepLearning_grid__2_AutoML_20200719_032043_model_1,0.4991927100982777,1.1228196663233247,0.6099651168633863,0.3720574437901644
DeepLearning_grid__1_AutoML_20200719_032043_model_19,0.5012579493251811,1.3968348030913424,0.6233810712040774,0.3886039599355429
DeepLearning_grid__3_AutoML_20200719_032043_model_10,0.501372701741107,1.5345250672452344,0.6231139333159039,0.3882709738924169
DeepLearning_grid__3_AutoML_20200719_032043_model_11,0.5017333171771398,1.5507100379943388,0.6512372991926247,0.4241100198597042
DeepLearning_grid__3_AutoML_20200719_032043_model_13,0.5022508165550342,1.204046379450645,0.6119461997104726,0.3744781513400895
DeepLearning_grid__3_AutoML_20200719_032043_model_1,0.5034621465227306,1.0094121801077554,0.6176253535714284,0.381461077374232
DeepLearning_grid__2_AutoML_20200719_032043_model_7,0.5063032777338333,1.4377238649174042,0.6464767544375349,0.4179321940280888
