,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,weighted_ensemble_k0_l1,0.8392451430426114,2.4385123252868652,16.37778067588806,0.0032067298889160156,1.558964490890503,1,True
1,CatboostClassifier_STACKER_l0,0.8360179904483702,0.0383453369140625,2.975102424621582,0.0383453369140625,2.975102424621582,0,True
2,RandomForestClassifierEntr_STACKER_l0,0.8326563731627022,1.183229923248291,6.023798704147339,1.183229923248291,6.023798704147339,0,True
3,RandomForestClassifierGini_STACKER_l0,0.831682663328233,1.1610026359558105,5.859225511550903,1.1610026359558105,5.859225511550903,0,True
4,LightGBMClassifier_STACKER_l0,0.830662586358789,0.026499271392822266,1.2110130786895752,0.026499271392822266,1.2110130786895752,0,True
5,ExtraTreesClassifierGini_STACKER_l0,0.8268141141558863,1.1872310638427734,4.6089019775390625,1.1872310638427734,4.6089019775390625,0,True
6,ExtraTreesClassifierEntr_STACKER_l0,0.8243473825752307,1.3055453300476074,4.723034620285034,1.3055453300476074,4.723034620285034,0,True
7,LightGBMClassifierCustom_STACKER_l0,0.8157277321834283,0.02753424644470215,3.089867353439331,0.02753424644470215,3.089867353439331,0,True
8,NeuralNetClassifier_STACKER_l0,0.7869244679371261,0.09623050689697266,17.469173908233643,0.09623050689697266,17.469173908233643,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.7488014095609032,0.6545183658599854,0.11435246467590332,0.6545183658599854,0.11435246467590332,0,True
10,KNeighborsClassifierUnif_STACKER_l0,0.7452218667408541,0.6531846523284912,0.10281825065612793,0.6531846523284912,0.10281825065612793,0,True
