,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,NeuralNetClassifier_STACKER_l0,0.7585715781718668,0.11885738372802734,36.631208181381226,0.11885738372802734,36.631208181381226,0,True
1,weighted_ensemble_k0_l1,0.7585715781718668,0.1216421127319336,39.16956853866577,0.00278472900390625,2.538360357284546,1,True
2,CatboostClassifier_STACKER_l0,0.7384667954487647,0.05142331123352051,23.963706254959106,0.05142331123352051,23.963706254959106,0,True
3,LightGBMClassifier_STACKER_l0,0.7322049702466311,0.025158166885375977,11.354151487350464,0.025158166885375977,11.354151487350464,0,True
4,LightGBMClassifierCustom_STACKER_l0,0.7191478291872625,0.052338600158691406,51.77566933631897,0.052338600158691406,51.77566933631897,0,True
5,ExtraTreesClassifierEntr_STACKER_l0,0.7188397913089919,1.2518107891082764,5.500050783157349,1.2518107891082764,5.500050783157349,0,True
6,RandomForestClassifierEntr_STACKER_l0,0.7179754034711235,1.3468356132507324,6.7354512214660645,1.3468356132507324,6.7354512214660645,0,True
7,RandomForestClassifierGini_STACKER_l0,0.7171284064976948,1.1486802101135254,6.358448266983032,1.1486802101135254,6.358448266983032,0,True
8,ExtraTreesClassifierGini_STACKER_l0,0.7150889599104656,1.148925542831421,5.463462829589844,1.148925542831421,5.463462829589844,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.4622740452835787,0.6567621231079102,0.10834193229675293,0.6567621231079102,0.10834193229675293,0,True
10,KNeighborsClassifierUnif_STACKER_l0,0.453680365761106,0.6524248123168945,0.11016201972961426,0.6524248123168945,0.11016201972961426,0,True
