,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,weighted_ensemble_k0_l1,0.24004216598721487,0.15668797492980957,36.1176118850708,0.002984285354614258,1.6385459899902344,1,True
1,CatboostClassifier_STACKER_l0,0.23815166909570376,0.03836798667907715,5.760213851928711,0.03836798667907715,5.760213851928711,0,True
2,LightGBMClassifier_STACKER_l0,0.22183712985300807,0.024941682815551758,7.01276159286499,0.024941682815551758,7.01276159286499,0,True
3,LightGBMClassifierCustom_STACKER_l0,0.20383707150135258,0.027519941329956055,16.22044062614441,0.027519941329956055,16.22044062614441,0,True
4,NeuralNetClassifier_STACKER_l0,0.19715996784586007,0.08781576156616211,12.498411417007446,0.08781576156616211,12.498411417007446,0,True
5,ExtraTreesClassifierEntr_STACKER_l0,0.19545353689369124,1.1468355655670166,5.254122734069824,1.1468355655670166,5.254122734069824,0,True
6,RandomForestClassifierEntr_STACKER_l0,0.1941727852699727,1.1484806537628174,6.425335168838501,1.1484806537628174,6.425335168838501,0,True
7,ExtraTreesClassifierGini_STACKER_l0,0.19134348085252076,1.1431167125701904,5.234616994857788,1.1431167125701904,5.234616994857788,0,True
8,KNeighborsClassifierUnif_STACKER_l0,0.18981045727253817,0.6483416557312012,0.1003882884979248,0.6483416557312012,0.1003882884979248,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.18630622255901996,0.6512861251831055,0.10004687309265137,0.6512861251831055,0.10004687309265137,0,True
10,RandomForestClassifierGini_STACKER_l0,0.18139822609145173,1.1518795490264893,6.389388084411621,1.1518795490264893,6.389388084411621,0,True
