model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200728_123758_model_1,0.8359562732105148,0.4751289804671554,0.7267371153674655,0.23479028617199446,0.3954748685553671,0.15640037165888487
XGBoost_grid__1_AutoML_20200728_123758_model_6,0.8353054685793345,0.4788674567178342,0.7312667101877118,0.2385904390883274,0.3964736599566843,0.15719136303944853
XGBoost_grid__1_AutoML_20200728_123758_model_3,0.8322926527342897,0.4813355366284241,0.7118768571665952,0.2403653608097284,0.3991715475816639,0.1593379243987406
XGBoost_grid__1_AutoML_20200728_123758_model_2,0.8309409815772227,0.4841483652210951,0.7169198699005233,0.24752421175271244,0.40095098579710825,0.1607616930116729
XGBoost_grid__1_AutoML_20200728_123758_model_5,0.8283787227845336,0.48374180774153,0.7071484587423611,0.2476197844607879,0.40002921937536173,0.1600233763540614
XGBoost_grid__1_AutoML_20200728_123758_model_7,0.8274320978664531,0.4871354818224693,0.7251949021559523,0.2462408068156994,0.4020251972727453,0.16162425924218982
XGBoost_grid__1_AutoML_20200728_123758_model_4,0.8271271754168791,0.4977372993463509,0.7271875601970581,0.2373935046967159,0.4034447326097305,0.1627676522705369
XGBoost_2_AutoML_20200728_123758,0.8243009539066483,0.4888567427857773,0.7152315207217294,0.24617254059564556,0.4026517748997331,0.16212845182990532
XGBoost_1_AutoML_20200728_123758,0.8223986019078132,0.5054868594510766,0.7043865841716331,0.2324737857714993,0.4049541433903723,0.16398785824903014
XGBoost_3_AutoML_20200728_123758,0.8160771499308235,0.5257426077654188,0.6822233187821749,0.2514017330517731,0.4148726827968124,0.1721193429310245
