,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,weighted_ensemble_k0_l1,0.7631944240840178,0.14649486541748047,52.59554195404053,0.0026235580444335938,2.2890353202819824,1,True
1,NeuralNetClassifier_STACKER_l0,0.7626105900650837,0.11718463897705078,39.14768052101135,0.11718463897705078,39.14768052101135,0,True
2,LightGBMClassifier_STACKER_l0,0.737901123671927,0.026686668395996094,11.158826112747192,0.026686668395996094,11.158826112747192,0,True
3,CatboostClassifier_STACKER_l0,0.7317383281297456,0.05564308166503906,30.802751779556274,0.05564308166503906,30.802751779556274,0,True
4,LightGBMClassifierCustom_STACKER_l0,0.6998377791957646,0.03769850730895996,35.76268243789673,0.03769850730895996,35.76268243789673,0,True
5,RandomForestClassifierGini_STACKER_l0,0.6982825385422297,1.1369435787200928,6.546038627624512,1.1369435787200928,6.546038627624512,0,True
6,RandomForestClassifierEntr_STACKER_l0,0.6980395380886183,1.1311078071594238,6.3836047649383545,1.1311078071594238,6.3836047649383545,0,True
7,ExtraTreesClassifierGini_STACKER_l0,0.6971017967761515,1.148679494857788,5.2684407234191895,1.148679494857788,5.2684407234191895,0,True
8,ExtraTreesClassifierEntr_STACKER_l0,0.6937539834049707,1.1282906532287598,5.084622859954834,1.1282906532287598,5.084622859954834,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.4454698128429174,0.6565015316009521,0.10286068916320801,0.6565015316009521,0.10286068916320801,0,True
10,KNeighborsClassifierUnif_STACKER_l0,0.4435624412087658,0.6487677097320557,0.1061553955078125,0.6487677097320557,0.1061553955078125,0,True
