,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,NeuralNetClassifier_STACKER_l0,0.8426779251312682,0.13304448127746582,34.178353786468506,0.13304448127746582,34.178353786468506,0,True
1,weighted_ensemble_k0_l1,0.8426779251312682,0.13625669479370117,35.86113381385803,0.0032122135162353516,1.6827800273895264,1,True
2,CatboostClassifier_STACKER_l0,0.7704585469061547,0.04913043975830078,10.951361179351807,0.04913043975830078,10.951361179351807,0,True
3,LightGBMClassifier_STACKER_l0,0.7691803658163198,0.03773188591003418,7.145749807357788,0.03773188591003418,7.145749807357788,0,True
4,LightGBMClassifierCustom_STACKER_l0,0.7532981501477096,0.039614200592041016,19.141653776168823,0.039614200592041016,19.141653776168823,0,True
5,ExtraTreesClassifierEntr_STACKER_l0,0.7400705620089028,1.1595051288604736,5.178472518920898,1.1595051288604736,5.178472518920898,0,True
6,RandomForestClassifierGini_STACKER_l0,0.7362268129135746,1.1562089920043945,6.218709945678711,1.1562089920043945,6.218709945678711,0,True
7,ExtraTreesClassifierGini_STACKER_l0,0.732095408110057,1.1544957160949707,5.075425863265991,1.1544957160949707,5.075425863265991,0,True
8,RandomForestClassifierEntr_STACKER_l0,0.722323291852101,1.1487975120544434,6.590094327926636,1.1487975120544434,6.590094327926636,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.6399243267260661,0.6750094890594482,0.14206242561340332,0.6750094890594482,0.14206242561340332,0,True
10,KNeighborsClassifierUnif_STACKER_l0,0.6356538112365056,0.6754655838012695,0.13359308242797852,0.6754655838012695,0.13359308242797852,0,True
