,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,weighted_ensemble_k0_l1,0.8506065696155282,1.3846924304962158,11.28982400894165,0.00615239143371582,1.3762431144714355,1,True
1,CatboostClassifier_STACKER_l0,0.8475830533781261,0.03963184356689453,2.7349817752838135,0.03963184356689453,2.7349817752838135,0,True
2,RandomForestClassifierEntr_STACKER_l0,0.8445875326614409,1.3120651245117188,5.918502330780029,1.3120651245117188,5.918502330780029,0,True
3,RandomForestClassifierGini_STACKER_l0,0.8410181037700635,1.146331787109375,5.585837364196777,1.146331787109375,5.585837364196777,0,True
4,ExtraTreesClassifierGini_STACKER_l0,0.8401782381485627,1.197596788406372,4.595069885253906,1.197596788406372,4.595069885253906,0,True
5,LightGBMClassifier_STACKER_l0,0.8384705113848451,0.02684307098388672,1.260096788406372,0.02684307098388672,1.260096788406372,0,True
6,ExtraTreesClassifierEntr_STACKER_l0,0.8369587532661441,1.1799843311309814,4.590925931930542,1.1799843311309814,4.590925931930542,0,True
7,LightGBMClassifierCustom_STACKER_l0,0.8258585293019785,0.028101205825805664,3.315819263458252,0.028101205825805664,3.315819263458252,0,True
8,NeuralNetClassifier_STACKER_l0,0.7845371407241508,0.1107778549194336,18.974956512451172,0.1107778549194336,18.974956512451172,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.7622527062336693,0.652336597442627,0.10693717002868652,0.652336597442627,0.10693717002868652,0,True
10,KNeighborsClassifierUnif_STACKER_l0,0.7618980963045913,0.6577761173248291,0.11609578132629395,0.6577761173248291,0.11609578132629395,0,True
