,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer
0,weighted_ensemble_k0_l1,0.923929313600675,0.3520772457122803,67.76746153831482,0.0028743743896484375,2.180241107940674,1,True
1,CatboostClassifier_STACKER_l0,0.9224705625331605,0.06273007392883301,18.00292134284973,0.06273007392883301,18.00292134284973,0,True
2,ExtraTreesClassifierEntr_STACKER_l0,0.9199435873927266,1.2999334335327148,4.445450305938721,1.2999334335327148,4.445450305938721,0,True
3,LightGBMClassifierCustom_STACKER_l0,0.919676278048735,0.05219316482543945,7.660172939300537,0.05219316482543945,7.660172939300537,0,True
4,ExtraTreesClassifierGini_STACKER_l0,0.9195950111443069,1.166954517364502,4.62253475189209,1.166954517364502,4.62253475189209,0,True
5,RandomForestClassifierEntr_STACKER_l0,0.9194393677961752,1.1535613536834717,5.881389141082764,1.1535613536834717,5.881389141082764,0,True
6,LightGBMClassifier_STACKER_l0,0.9193552636432136,0.04499077796936035,2.369903326034546,0.04499077796936035,2.369903326034546,0,True
7,RandomForestClassifierGini_STACKER_l0,0.9148833546329633,1.1476242542266846,5.681515693664551,1.1476242542266846,5.681515693664551,0,True
8,NeuralNetClassifier_STACKER_l0,0.90365352493678,0.24148201942443848,45.21439576148987,0.24148201942443848,45.21439576148987,0,True
9,KNeighborsClassifierDist_STACKER_l0,0.6265212212004077,0.6806778907775879,0.2132401466369629,0.6806778907775879,0.2132401466369629,0,True
10,KNeighborsClassifierUnif_STACKER_l0,0.6224440950575537,0.6762199401855469,0.19994378089904785,0.6762199401855469,0.19994378089904785,0,True
